0(0.0)->1(23.543099999999995)->2(23.543099999999995),3(0.0)->4(0.0)->5(0.0)
6(0.0)->7(0.0)->8(0.0),9(2980.1944000000003)->10(2980.1944000000003)->11(2980.1944000000003)
